id;hora_inicio;hora_final;fecha;jornada
1;2022-06-02T15:27:31;2022-06-03T00:01:27;2022-06-02;24/365 Teclado migración
2;2022-06-02T21:54:05;2022-06-02T12:31:47;2022-06-02;Pelota
3;2022-06-02T06:32:20;2022-06-02T13:37:22;2022-06-02;Cine solid wireless
4;2022-06-02T12:34:22;2022-06-02T18:16:31;2022-06-02;Funcionario technologies
5;2022-06-02T12:01:29;2022-06-02T21:37:57;2022-06-02;invoice Cataluña
6;2022-06-02T14:09:31;2022-06-02T03:25:21;2022-06-02;Baleares Asistente
7;2022-06-02T16:13:30;2022-06-02T05:27:11;2022-06-02;circuit Baleares
8;2022-06-02T10:33:41;2022-06-03T01:10:42;2022-06-02;Increible Account withdrawal
9;2022-06-02T18:21:41;2022-06-02T07:43:25;2022-06-02;Martinica Marca iterate
10;2022-06-02T20:40:25;2022-06-02T03:37:34;2022-06-02;Enfocado Artesanal
